Brand Name;2023 Final scores - SECTION 1;2023 FINAL PERCENTAGES -  SECTION 1;2022 Final scores - SECTION 1;2022 FINAL PERCENTAGES -  SECTION 1;% change in score 2022-2023;2021 Final scores - SECTION 1;2021 FINAL PERCENTAGES -  SECTION 1;% change in score 2021-2023;2020 Final scores - SECTION 1;2020 FINAL PERCENTAGES -  SECTION 1;% change in score 2020-2023;2019 Final scores - SECTION 1;2019 FINAL PERCENTAGES -  SECTION 1;% change in score 2019-2023;2018 Final scores - SECTION 1;2018 FINAL PERCENTAGES -  SECTION 1;% change in score 2018-2023;2017 Final scores  - SECTION 1;2017 FINAL PERCENTAGES - SECTION 1;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Beanpole;8;24,24%;8,75;26,52%;-2,27%;5,5;16,67%;7,58%;10;21,28%;2,97%;0,5;1,02%;23,22%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Belle;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Bershka;29,5;89,39%;29,75;90,15%;-0,76%;29,5;89,39%;0,00%;40,5;86,17%;3,22%;43;87,76%;1,64%;42;87,50%;1,89%;43;86,00%;3,39%;;;;;;;;;;;;;;;;;
Big Bazaar - ffb;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;2;4,26%;-4,26%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Big W;25;75,76%;25,25;76,52%;-0,76%;26;78,79%;-3,03%;34,5;73,40%;2,35%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Billabong;10,75;32,58%;11,75;35,61%;-3,03%;0,75;2,27%;30,30%;4,5;9,57%;23,00%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Bloomingdale's;12,5;37,88%;11,25;34,09%;3,79%;16;48,48%;-10,61%;28;59,57%;-21,70%;24,5;50,00%;-12,12%;25;52,08%;-14,20%;;;#VALUE!;;;;;;;;;;;;;;;;;
Bonprix;24;72,73%;22,25;67,42%;5,30%;23,25;70,45%;2,27%;33,5;71,28%;1,45%;34;69,39%;3,34%;30;62,50%;10,23%;;;#VALUE!;;;;;;;;;;;;;;;;;
boohoo;14,75;44,70%;18,25;55,30%;-10,61%;17,25;52,27%;-7,58%;12;25,53%;19,17%;15;30,61%;14,08%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Bosideng;0,25;0,76%;8,5;25,76%;-25,00%;8,5;25,76%;-25,00%;16,5;35,11%;-34,35%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Bottega Veneta;32,25;97,73%;30,5;92,42%;5,30%;28;84,85%;12,88%;46;97,87%;-0,15%;49;100,00%;-2,27%;47;97,92%;-0,19%;39;78,00%;19,73%;;;;;;;;;;;;;;;;;
Brooks Sport;21,25;64,39%;18,75;56,82%;7,58%;20;60,61%;3,79%;27,5;58,51%;5,88%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Brunello Cucinelli;12,75;38,64%;10;30,30%;8,33%;1,5;4,55%;34,09%;11,5;24,47%;14,17%;14,5;29,59%;9,04%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Buckle;5;15,15%;7,75;23,48%;-8,33%;9,75;29,55%;-14,39%;17;36,17%;-21,02%;16;32,65%;-17,50%;15,5;32,29%;-17,14%;;;#VALUE!;;;;;;;;;;;;;;;;;
Burberry;26,75;81,06%;28,75;87,12%;-6,06%;28,5;86,36%;-5,30%;40;85,11%;-4,05%;42;85,71%;-4,65%;39,5;82,29%;-1,23%;37;74,00%;7,06%;;;;;;;;;;;;;;;;;
Burlington;16;48,48%;12,75;38,64%;9,85%;15,5;46,97%;1,52%;23;48,94%;-0,45%;16;32,65%;15,83%;12,5;26,04%;22,44%;15,5;31,00%;17,48%;;;;;;;;;;;;;;;;;
C&A;29;87,88%;29,75;90,15%;-2,27%;30,75;93,18%;-5,30%;45,5;96,81%;-8,93%;45,5;92,86%;-4,98%;40;83,33%;4,55%;37;74,00%;13,88%;;;;;;;;;;;;;;;;;
Calvin Klein;26,25;79,55%;28,75;87,12%;-7,58%;29,5;89,39%;-9,85%;41,5;88,30%;-8,75%;42;85,71%;-6,17%;43,5;90,63%;-11,08%;43;86,00%;-6,45%;;;;;;;;;;;;;;;;;
Calzedonia;27,25;82,58%;16,75;50,76%;31,82%;13,75;41,67%;40,91%;28;59,57%;23,00%;4,5;9,18%;73,39%;5;10,42%;72,16%;8;16,00%;66,58%;;;;;;;;;;;;;;;;;
Canada Goose;16,75;50,76%;12,5;37,88%;12,88%;10;30,30%;20,45%;4,5;9,57%;41,18%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Carhartt;7,5;22,73%;9,75;29,55%;-6,82%;8,5;25,76%;-3,03%;11;23,40%;-0,68%;;;#VALUE!;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Carolina Herrera;19,25;58,33%;13,5;40,91%;17,42%;17,5;53,03%;5,30%;21;44,68%;13,65%;19;38,78%;19,56%;7;14,58%;43,75%;;;#VALUE!;;;;;;;;;;;;;;;;;
CAROLL;4,5;13,64%;8,5;25,76%;-12,12%;15,5;46,97%;-33,33%;24;51,06%;-37,43%;4,5;9,18%;4,45%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
Carrefour;22,75;68,94%;21;63,64%;5,30%;22,25;67,42%;1,52%;30;63,83%;5,11%;30,5;62,24%;6,69%;;;;;;#VALUE!;;;;;;;;;;;;;;;;;
